watershed,lu_type,lu_code,area_sqm
Tulpehocken Creek,Developed Medium Intensity,23,27000
Tulpehocken Creek,Barren Land,31,14400
Pine Creek,Pasture/Hay,81,63900
Pine Creek,Open Water,11,900
Pine Creek,Developed Open Space,21,102600
Pine Creek,Deciduous Forest,41,8676900
Pine Creek,Evergreen Forest,42,266400
Pine Creek,Mixed Forest,43,377100
Saucony Creek,Open Water,11,6300
Saucony Creek,Grassland/Herbaceous,71,4500
Saucony Creek,Deciduous Forest,41,4670100
Saucony Creek,Evergreen Forest,42,60300
Saucony Creek,Mixed Forest,43,256500
Saucony Creek,Pasture/Hay,81,810900
Saucony Creek,Cultivated Crops,82,180000
Saucony Creek,Shrub/Scrub,52,209700
Saucony Creek,Developed Open Space,21,8181900
Saucony Creek,Developed Low Intensity,22,2984400
Saucony Creek,Developed Medium Intensity,23,3813300
Saucony Creek,Developed High Intensity,24,1614600
Saucony Creek,Woody Wetlands,90,97200
Saucony Creek,Barren Land,31,12600
West Branch Schuylkill River,Deciduous Forest,41,2637900
West Branch Schuylkill River,Evergreen Forest,42,56700
West Branch Schuylkill River,Open Water,11,599400
West Branch Schuylkill River,Pasture/Hay,81,24538500
West Branch Schuylkill River,Cultivated Crops,82,44320500
West Branch Schuylkill River,Developed Open Space,21,7887600
West Branch Schuylkill River,Developed Low Intensity,22,7833600
West Branch Schuylkill River,Developed Medium Intensity,23,2598300
West Branch Schuylkill River,Developed High Intensity,24,815400
West Branch Schuylkill River,Woody Wetlands,90,31500
West Branch Schuylkill River,Barren Land,31,81000
West Branch Schuylkill River,Emergent Herbaceous Wetlands,95,111600
Mill Creek South,Deciduous Forest,41,8381700
Mill Creek South,Evergreen Forest,42,72900
Mill Creek South,Mixed Forest,43,117000
Mill Creek South,Pasture/Hay,81,3311100
Mill Creek South,Cultivated Crops,82,1815300
Mill Creek South,Developed Open Space,21,3863700
Mill Creek South,Developed Low Intensity,22,2173500
Mill Creek South,Developed Medium Intensity,23,851400
Mill Creek South,Developed High Intensity,24,423900
Mill Creek South,Woody Wetlands,90,56700
Mill Creek South,Emergent Herbaceous Wetlands,95,70200
unamed trib of Cacoosing Creek,Open Water,11,360000
unamed trib of Cacoosing Creek,Deciduous Forest,41,24528600
unamed trib of Cacoosing Creek,Evergreen Forest,42,981900
unamed trib of Cacoosing Creek,Mixed Forest,43,655200
unamed trib of Cacoosing Creek,Pasture/Hay,81,101700
unamed trib of Cacoosing Creek,Cultivated Crops,82,108000
unamed trib of Cacoosing Creek,Developed Open Space,21,1876500
unamed trib of Cacoosing Creek,Developed Low Intensity,22,591300
unamed trib of Cacoosing Creek,Developed Medium Intensity,23,115200
unamed trib of Cacoosing Creek,Barren Land,31,1804500
unamed trib of Cacoosing Creek,Emergent Herbaceous Wetlands,95,4500
Trout Creek,Open Water,11,6300
Trout Creek,Grassland/Herbaceous,71,90000
Trout Creek,Deciduous Forest,41,11262600
Trout Creek,Evergreen Forest,42,200700
Trout Creek,Mixed Forest,43,351900
Trout Creek,Pasture/Hay,81,2425500
Trout Creek,Cultivated Crops,82,1252800
Trout Creek,Shrub/Scrub,52,1512000
Trout Creek,Developed Open Space,21,18318600
Trout Creek,Developed Low Intensity,22,7292700
Trout Creek,Developed Medium Intensity,23,3546900
Trout Creek,Developed High Intensity,24,1260900
Trout Creek,Woody Wetlands,90,861300
Trout Creek,Barren Land,31,4500
